Event ID,Event time,User name,Event name,Resource type,Resources,AWS access key,AWS region,Error code,Source IP address
450e3fb9-9121-4b26-b0b6-aee8523684b5,"2020-06-13, 11:18:36 AM",CloudTrail,ChangePassword,,,,us-east-1,,AWS Internal
6c849d66-195f-4f80-8c73-3204779cd16c,"2020-06-13, 11:17:55 AM",CloudTrail,ConsoleLogin,,,,us-east-1,,213.127.63.130
39e74216-74d9-4355-9ef2-2c85b958b655,"2020-06-13, 11:03:08 AM",root,CreateLoginProfile,IAM User,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""}]",,us-east-1,,213.127.63.130
08d5a2d1-45d1-4e18-a73b-d1352f477663,"2020-06-13, 11:03:07 AM",root,AttachUserPolicy,IAM User and 1 more,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""},{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/IAMUserChangePassword""}]",,us-east-1,,213.127.63.130
c8ef6c89-52ff-488e-b94c-f26c1584f3bd,"2020-06-13, 11:03:07 AM",root,AddUserToGroup,IAM User and 1 more,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""Reviewers""}]",,us-east-1,,213.127.63.130
e9ad0ac7-3cfc-4765-a0c8-88397aa7e87b,"2020-06-13, 11:03:07 AM",root,CreateUser,IAM User,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""arn:aws:iam::210729147014:user/Accountant""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""AIDATCEDPTKDGUPNNZS3G""}]",,us-east-1,,213.127.63.130
eb38d4ca-9d05-4996-817f-08de42b6a277,"2020-06-13, 11:00:39 AM",root,CreateLoginProfile,IAM User,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""}]",,us-east-1,,213.127.63.130
5a366fb7-d9da-41d2-8947-9cf9c7077a4f,"2020-06-13, 11:00:38 AM",root,AddUserToGroup,IAM User and 1 more,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""CloudTrailAdmins""}]",,us-east-1,,213.127.63.130
5e0a1359-3400-4a5a-b5b6-025d83e057c0,"2020-06-13, 11:00:38 AM",root,AttachUserPolicy,IAM User and 1 more,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""},{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/IAMUserChangePassword""}]",,us-east-1,,213.127.63.130
8f745ff2-6429-448d-9013-6f9db453bed9,"2020-06-13, 11:00:38 AM",root,CreateUser,IAM User,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""AIDATCEDPTKDEPH5T6L6Q""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""arn:aws:iam::210729147014:user/CloudTrail""}]",,us-east-1,,213.127.63.130
